,treat,age,educ,black,hisp,married,nodegr,re74,re75,re78,u74,u75
0,False,23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1,False,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12383.68,1.0,1.0
2,False,22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
3,False,18.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,10740.08,1.0,1.0
4,False,45.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,11796.47,1.0,1.0
5,False,18.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,9227.052,1.0,1.0
6,False,24.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,10569.27,1.0,1.0
7,False,34.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,6040.335,1.0,1.0
8,False,24.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,3880.833,1.0,1.0
9,False,36.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
10,False,21.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,5775.062,1.0,1.0
11,False,28.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
12,False,27.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
13,False,19.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
14,False,20.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
15,False,34.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2113.722,1.0,1.0
16,False,24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,7618.639,1.0,1.0
17,False,22.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,9920.945,1.0,1.0
18,False,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,4196.375,1.0,1.0
19,False,39.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
